OBJECTID,TYPE_REG,ID_ETABLISSEMENT,NOM,UNITE_LOCALE,COMPLEMENT_LOCALI,STATUT_REG,IMMAT_DT,TYPE_LOCAL,CODE_NOGA,BRANCHE,ACTIVITE_DETAIL,TAILLE,RAISON_SOC_PARENT,ID_ENTREPRISE,TEL_PRINCIPAL,TEL_SECONDAIRE,FAX,EMAIL,SITE_INTERNET,PHYS_RUE,PHYS_NUMRUE,PHYS_NPA,PHYS_LOCALITE,PHYS_COMMUNE,IDPADR,ADRESSE,NUM_IDE,RAISON_SOCIALE,NATURE_JURID,SIEGE_CANTON,SIEGE_PAYS,SOUS_TYPE,E,N
35162,Etablissement,1-WLR9P,Global Family Management,99146276.0,,En activité,2018-08-16,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,Global Family Management SA,1-CBCDB,41229001483.0,,,info@gfamilymgt.com,https://gfamilymgt.com,Rue François-BONIVARD,4,1201,Genève,Genève-Cité,930225003043,Rue François-BONIVARD 4,,Global Family Management,,,,,2500299.35,1118212.87
35426,Etablissement,1-4XH-9652,Pagest Environnement,66230629.0,,En activité,2000-10-19,Bureau/étude/cabinet,649901,Sociétés d'investissement,,,PAGEST ENVIRONNEMENT SA,1-4XH-9651,,,,,,Rue du Nant,8,1207,Genève,Genève-Eaux-Vives,930225020209,Rue du Nant 8,,Pagest Environnement,,,,,2501320.9,1117537.22
34628,Etablissement,1-R93NY,Mandarin Private Office,92802825.0,,En activité,2015-12-10,Bureau/étude/cabinet,663002,Gestion de fonds,,,Mandarin Private Office Sàrl,1-4XH-73792,41225951253.0,,,info@mandarinpo.com,https://mandarinpo.com,Route de Florissant,81,1206,Genève,Genève-Eaux-Vives,971222104331,Route de Florissant 81,,Mandarin Private Office,,,,,2501721.71,1116389.24
34663,Etablissement,1-SUTTW,AIT Financial Services,96785552.0,,En activité,2017-12-05,Bureau/étude/cabinet,663002,Gestion de fonds,,,AIT Financial Services Sàrl,1-4XH-81725,41227035820.0,,,,,Avenue CALAS,11,1206,Genève,Genève-Plainpalais,930225003996,Avenue CALAS 11,,AIT Financial Services,,,,,2500902.09,1116110.03
35220,Etablissement,1-MX1QZ,AFC Advisory Services,73347668.0,,En activité,2014-04-25,Activité à domicile,663002,Gestion de fonds,,,AFC Advisory Services SA,1-4XH-31817,,,,,,Avenue Gaspard-VALLETTE,12,1206,Genève,Genève-Plainpalais,930225029708,Avenue Gaspard-VALLETTE 12,,AFC Advisory Services,,,,,2500980.15,1116725.13
35226,Etablissement,1-NQKRF,Infinity Capital,94523077.0,,En activité,2019-06-19,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,INFINITY CAPITAL SA,1-4XH-78304,41229002270.0,,,info@infinitycapital.ch,,Place des Florentins,1,1204,Genève,Genève-Cité,930225011110,Place des Florentins 1,,Infinity Capital,,,,,2500755.64,1117679.57
34681,Etablissement,1-U6ZYR,Arkaim,95965989.0,,En activité,2018-03-31,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,Arkaim SA,1-4XH-74048,41223084400.0,,,natalia.wallart@arkaim-sa.ch,http://www.arkaim-sa.ch,Rue du Rhône,42,1204,Genève,Genève-Cité,930225024526,Rue du Rhône 42,,Arkaim,,,,,2500309.63,1117797.67
34694,Etablissement,1-UHY4X,Alliance Partners,97502867.0,,En activité,2018-04-23,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,Alliance Partners SA,1-2UPZV,41227150070.0,,,,http://www.alliance-partners.ch,Rue Verdaine,11,1204,Genève,Genève-Cité,930225030179,Rue Verdaine 11,,Alliance Partners,,,,,2500545.42,1117461.01
34699,Etablissement,1-UI74J,SPEARVEST,97967418.0,,En activité,2018-06-12,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,SPEARVEST SA,1-56LM0,41223185970.0,,,info@spearvest.com,http://www.spearvest.com,Rue du Commerce,4,1204,Genève,Genève-Cité,150413144027,Rue du Commerce 4,,SPEARVEST,,,,,2500147.13,1117777.82
34972,Etablissement,1-4XH-95279,Medlife,62609615.0,,En activité,1993-10-04,Bureau/étude/cabinet,649901,Sociétés d'investissement,,6-9 travailleurs,Medlife SA,1-4XH-95278,41228800606.0,,41228800607.0,medlife@medlife.ch,,Chemin du Pont-du-Centenaire,109,1228,Plan-les-Ouates,Plan-les-Ouates,930225022854,Chemin du Pont-du-Centenaire 109,,Medlife,,,,,2497281.76,1114124.89
35257,Etablissement,1-VAU3X,Agave Advisors,97279716.0,,En activité,2018-03-12,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,Agave Advisors SA,1-4XH-81672,41229002244.0,41793690688.0,,wecare@agave-advisors.com,http://agave-advisors.com,Rue de la Croix-d'Or,17A,1204,Genève,Genève,930225008686,Rue de la Croix-d'Or 17A,,Agave Advisors,,,,,2500475.01,1117648.34
34719,Etablissement,1-VQNWN,Lazard Asset Management,95791062.0,,En activité,2017-09-30,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,Lazard Asset Management Schweiz AG,1-4XH-75427,41225819972.0,,,contact.CH@lazard.com,https://www.lazardassetmanagement.com,Place de la Fusterie,7,1204,Genève,Genève,930225011989,Place de la Fusterie 7,,Lazard Asset Management,,,,,2500241.86,1117759.69
35008,Etablissement,1-R0561,Alkimia,97458422.0,,En activité,2019-08-20,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,Alkimia SA,1-2WH99,41227184860.0,,,info@alkimia.ch,,Rue du Général-DUFOUR,22,1204,Genève,Genève-Cité,930225012295,Rue du Général-DUFOUR 22,,Alkimia,,,,,2499946.85,1117348.39
35012,Etablissement,1-4XH-96004,Daxor Finance,62251576.0,,En activité,1992-08-28,Bureau/étude/cabinet,649901,Sociétés d'investissement,,1-2 travailleurs,Daxor Finance SA,1-4XH-96003,41223123512.0,,,info@daxor.ch,http://www.daxor.ch,Rue du Rhône,59,1204,Genève,Genève-Cité,930225024532,Rue du Rhône 59,,Daxor Finance,,,,,2500800.07,1117653.39
35295,Etablissement,1-U67OA,Stouff Capital,97863505.0,,En activité,2019-10-01,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,Stouff Capital SA,1-4J1UXI,41227522244.0,,,info@stouffcapital.com,https://marketing.stouffcapital.com,Chemin des Gotettes,66,1222,Vésenaz,Collonge-Bellerive,50103081446,Chemin des Gotettes 66,,Stouff Capital,,,,,2505441.06,1122376.91
35534,Etablissement,1-4XH-9506,Progestfonds,45523998.0,,En activité,1979-09-21,Bureau/étude/cabinet,663002,Gestion de fonds,Administration de fonds de placements,3-5 travailleurs,Progestfonds SA,1-4XH-9716,41223107621.0,,,clg@progestfonds.ch,,Rue de la Fontaine,5,1204,Genève,Genève,930225011311,Rue de la Fontaine 5,,Progestfonds,,,,,2500530.74,1117524.86
34787,Etablissement,1-ZJPXP,Realstone,11694198.0,,En activité,2020-01-21,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,Realstone SA,1-32D51L,41582620000.0,,,info@realstone.ch,https://realstone.ch/,Esplanade de Pont-Rouge,2,1212,Grand-Lancy,Lancy,130513144049,Esplanade de Pont-Rouge 2,,Realstone,,,,,2498749.21,1115945.14
35044,Etablissement,1-R05I1,SKD Wealth Management,97415738.0,,En activité,2018-04-04,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,SKD Wealth Management SA,1-4XH-91251,41225662514.0,41794791884.0,,info@skd-wealth.com,https://skd-wealth.ch,Avenue De-BUDÉ,1,1202,Genève,Genève-Petit-Saconnex,930225003792,Avenue De-BUDÉ 1,,SKD Wealth Management,,,,,2499121.74,1120035.06
34798,Etablissement,1-NEBOI,OpenFunds Investment Services,95478740.0,,En activité,2019-06-14,Bureau/étude/cabinet,649901,Sociétés d'investissement,,1-2 travailleurs,"OpenFunds Investment Services AG, succursale de Cologny",1-4XH-75630,41445003158.0,,,info@open-funds.ch,,Chemin Armand-DUFAUX,40,1245,Collonge-Bellerive,Collonge-Bellerive,151016095246,Chemin Armand-DUFAUX 40,,OpenFunds Investment Services,,,,,2504862.09,1124287.58
35066,Etablissement,1-4XH-96808,NextGen Wealth Managers,62093173.0,,En activité,1991-12-03,Bureau/étude/cabinet,663002,Gestion de fonds,Gestion de patrimoine,10-19 travailleurs,NextGen Wealth Managers SA,1-4XH-96807,41223196959.0,,,welcome@nextgen-wm.ch,https://nextgen-wm.ch/,Rue du Mont-de-Sion,8,1206,Genève,Genève-Cité,930225019580,Rue du Mont-de-Sion 8,,NextGen Wealth Managers,,,,,2500812.67,1117035.53
35350,Etablissement,1-XBBN3,Fondation Arc-en-Ciel,54474271.0,,En activité,2001-05-30,Bureau/étude/cabinet,643000,Fonds de placement et entités financières similaires,,,Fondation Arc-en-Ciel,1-4XH-53989,41227153421.0,,,,,Rue de Saint-Jean,98,1201,Genève,Genève-Cité,930225025694,Rue de Saint-Jean 98,,Fondation Arc-en-Ciel,,,,,2499608.35,1118034.65
34825,Etablissement,1-RWMVH,Urban Advisors,96617157.0,,En activité,2017-10-25,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,Urban Advisors SA,1-4XH-73894,41225667702.0,,41225667710.0,contact@urbanadvisors.ch,http://www.urbanadvisors.ch,Rue du Mont-Blanc,4,1201,Genève,Genève,930225019467,Rue du Mont-Blanc 4,,Urban Advisors,,,,,2500339.97,1118136.74
35085,Etablissement,1-UYWMB,Swiss Bridge Capital,99099003.0,,En activité,2018-07-26,Bureau/étude/cabinet,663002,Gestion de fonds,,6-9 travailleurs,Swiss Bridge Capital SA,1-7LK95,41227183800.0,41799000122.0,41227183809.0,sbc@swissbridgecapital.com,https://www.swissbridgecapital.com/,Rue du Général-DUFOUR,11,1204,Genève,Genève-Cité,930225012286,Rue du Général-DUFOUR 11,,Swiss Bridge Capital,,,,,2499898.12,1117496.99
34568,Etablissement,1-N8J54,Tell,68527945.0,,En activité,2004-11-30,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,Tell SA,1-N31MF,41227360403.0,41786267929.0,41225457810.0,karen.palaniappan@tell.group,,Rue VIOLLIER,4,1207,Genève,Genève-Eaux-Vives,930225041187,Rue VIOLLIER 4,,Tell,,,,,2501597.16,1117501.53
35406,Etablissement,1-4XH-961,SCGI,64856476.0,,En activité,1997-09-18,Bureau/étude/cabinet,663002,Gestion de fonds,,,SCGI SA,1-4XH-942,41227358001.0,,41227358002.0,contact.info@objectifpatrimoine.com,,Place des Eaux-Vives,8,1207,Genève,Genève,930225009707,Place des Eaux-Vives 8,,SCGI,,,,,2500974.12,1117501.82
35128,Etablissement,1-4XH-97566,Wilson Consulting,60730035.0,,En activité,1989-11-15,Bureau/étude/cabinet,663002,Gestion de fonds,Family-office,Sans travailleur,Wilson Consulting SA,1-4XH-97472,41792004241.0,,,ek@kanoui.com,,Route de Meyrin,49,1203,Genève,Genève,930225040416,Route de Meyrin 49,,Wilson Consulting,,,,,2498199.78,1119101.45
35135,Etablissement,1-4XH-97581,BOURNET-LAPOSTOLLE CAPITAL,60375519.0,,En activité,1989-05-17,Bureau/étude/cabinet,649901,Sociétés d'investissement,,,BOURNET-LAPOSTOLLE CAPITAL SA,1-4XH-97580,,,,,,Rue AGASSE,54,1208,Genève,Genève-Eaux-Vives,930225000131,Rue AGASSE 54,,BOURNET-LAPOSTOLLE CAPITAL,,,,,2501820.53,1117041.71
37762,Etablissement,1-4XH-7335,CISA Trust Company,41844947.0,,En activité,1978-09-18,Bureau/étude/cabinet,663002,Gestion de fonds,,6-9 travailleurs,CISA Trust Company (Switzerland) SA,1-4XH-7334,41227345550.0,,41227344496.0,com@cisatrust.ch,,Rue du Rhône,65,1204,Genève,Genève-Cité,930225024536,Rue du Rhône 65,,CISA Trust Company,,,,,2500898.2,1117622.24
38022,Etablissement,1-4XH-76812,Terminal Investment,95524339.0,,En activité,2017-02-17,Bureau/étude/cabinet,649901,Sociétés d'investissement,,100-199 travailleurs,Terminal Investment Limited Sàrl,1-4XH-76811,41227039200.0,,41227039201.0,info@tilgroup.com,http://www.tilgroup.com,Chemin RIEU,12,1208,Genève,Genève,930225024680,Chemin RIEU 12,,Terminal Investment,,,,,2501693.09,1116707.08
38033,Etablissement,1-4XH-77182,ADVANTAGE FINANCE,94450838.0,,En activité,2016-11-03,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,ADVANTAGE FINANCE SA,1-4XH-77563,41795375209.0,,,mail@advantagefinance.ch,,Avenue Ernest-HENTSCH,2,1207,Genève,Genève,930225014599,Avenue Ernest-HENTSCH 2,,ADVANTAGE FINANCE,,,,,2501619.34,1117695.15
38258,Etablissement,1-4XH-883,Investglob,64816337.0,,En activité,1997-08-19,Bureau/étude/cabinet,663002,Gestion de fonds,,,Investglob SA,1-4XH-862,41227186070.0,,41227186089.0,globalle@inv.ch,,Avenue de la Roseraie,76A,1205,Genève,Genève-Plainpalais,70911163841,Avenue de la Roseraie 76A,,Investglob,,,,,2500450.37,1116381.97
37807,Etablissement,1-4XH-77087,MEDEVICE PARTNERS,94733991.0,,En activité,2017-01-03,Bureau/étude/cabinet,649901,Sociétés d'investissement,,Sans travailleur,MEDEVICE PARTNERS SA,1-4XH-77086,41223293329.0,,,,,Rue Adrien-LACHENAL,20,1207,Genève,Genève,930225015934,Rue Adrien-LACHENAL 20,,MEDEVICE PARTNERS,,,,,2500994.17,1117299.4
38574,Etablissement,1-4XH-89513,Viatrans Genève,54514044.0,,En activité,2017-12-12,Bureau/étude/cabinet,649901,Sociétés d'investissement,,6-9 travailleurs,Viatrans SA,1-4XH-89512,41227370210.0,,,alain.boudraa@viatrans.ch,http://www.viatrans.ch,Rue ROUSSEAU,38,1201,Genève,Genève-Cité,930225025214,Rue ROUSSEAU 38,,Viatrans Genève,,,,,2499985.73,1118219.2
37839,Etablissement,1-4XH-76337,FCS Alliance,94823718.0,,En activité,2017-01-19,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,FCS Alliance SA,1-4XH-76336,41225101255.0,,,ef@fcs-alliance.com,,Rue du Mont-Blanc,4,1201,Genève,Genève,930225019467,Rue du Mont-Blanc 4,,FCS Alliance,,,,,2500339.97,1118136.74
38074,Etablissement,1-4XH-76840,Mierzwinski wealth management,94490427.0,,En activité,2016-11-11,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,MIERZWINSKI WEALTH MANAGEMENT SA,1-4XH-76748,41228002123.0,,,,,Rue du Rhône,49,1204,Genève,Genève-Cité,930225024528,Rue du Rhône 49,,Mierzwinski wealth management,,,,,2500614.98,1117712.49
38313,Etablissement,1-4XH-8899,AND PRIVATE WEALTH,66837523.0,,En activité,2001-07-16,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,AND PRIVATE WEALTH SA,1-4XH-8898,41228183940.0,,41228183941.0,info.apw@andpw.com,http://www.andprivatewealth.com,Rue du Rhône,11,1204,Genève,Genève-Cité,930225024512,Rue du Rhône 11,,AND PRIVATE WEALTH,,,,,2500134.4,1117842.28
38594,Etablissement,1-4XH-86896,Rhône Gestion,53115304.0,,En activité,1984-03-06,Bureau/étude/cabinet,663002,Gestion de fonds,,6-9 travailleurs,Rhône Gestion SA,1-4XH-86895,41223282815.0,,41223206000.0,rg@rhone-gestion.ch,http://www.rhone-gestion.ch,Boulevard Georges-FAVON,2,1204,Genève,Genève,930225010623,Boulevard Georges-FAVON 2,,Rhône Gestion,,,,,2499749.78,1117776.44
38328,Etablissement,1-4XH-8918,Bisange Ventures,66597819.0,,En activité,2001-06-01,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,Bisange Ventures SA,1-4XH-8917,41799389209.0,,,laureni@bisange1602.ch,http://bisangeventures.com/,Rue du Cendrier,24,1201,Genève,Genève-Cité,930225004764,Rue du Cendrier 24,,Bisange Ventures,,,,,2500191.27,1118165.0
37878,Etablissement,1-4XH-76045,HB Henri Berchtold & Co Family Office,94801976.0,,En activité,2017-01-16,Bureau/étude/cabinet,663002,Gestion de fonds,,Sans travailleur,HB Henri Berchtold & Co Family Office SCM,1-4XH-75954,41227154082.0,,,,,Rue Kitty-PONSE,4,1205,Genève,Genève-Cité,930225029452,Rue Kitty-PONSE 4,,HB Henri Berchtold & Co Family Office,,,,,2500043.83,1117143.04
37887,Etablissement,1-4XH-76377,Montfort Family Office,95564478.0,,En activité,2017-02-27,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,Montfort Family Office Sàrl,1-4XH-76376,41225560200.0,,,info@mfort.ch,,Rue Rodolphe-TOEPFFER,8,1206,Genève,Genève-Cité,930225028848,Rue Rodolphe-TOEPFFER 8,,Montfort Family Office,,,,,2500820.1,1117143.51
38121,Etablissement,1-4XH-78014,Fields Investment Limited,94514989.0,,En activité,2016-11-16,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,Fields Investment Limited SA,1-4XH-78013,41227360763.0,,41227360764.0,,,Rue VIOLLIER,2,1207,Genève,Genève,930225041186,Rue VIOLLIER 2,,Fields Investment Limited,,,,,2501586.17,1117517.66
38705,Etablissement,1-4XH-89056,Travaux et Constructions Modernes - Tracom,46546132.0,,En activité,1982-05-10,Bureau/étude/cabinet,649901,Sociétés d'investissement,,1-2 travailleurs,Travaux et Constructions Modernes - Tracom SA,1-4XH-88965,41228173300.0,,,,,Rue Kitty-PONSE,4,1205,Genève,Genève-Cité,930225029452,Rue Kitty-PONSE 4,,Travaux et Constructions Modernes - Tracom,,,,,2500043.83,1117143.04
37940,Etablissement,1-4XH-73384,Vergell Medical,62365047.0,,En activité,2015-11-13,Bureau/étude/cabinet,649901,Sociétés d'investissement,,1-2 travailleurs,Vergell Medical S.A.,1-4XH-73383,,,,,,Rue de l'Evêché,5,1204,Genève,Genève,930225010402,Rue de l'Evêché 5,,Vergell Medical,,,,,2500429.1,1117515.46
38207,Etablissement,1-4XH-77249,Tervia Logistics,94739883.0,,En activité,2017-01-04,Bureau/étude/cabinet,649901,Sociétés d'investissement,,,Tervia Logistics SA,1-4XH-77248,41794556781.0,,,sp@sptsa.com,,Rue Adrien-LACHENAL,20,1207,Genève,Genève,930225015934,Rue Adrien-LACHENAL 20,,Tervia Logistics,,,,,2500994.17,1117299.4
37525,Etablissement,1-4XH-75578,MAZOLO & Cie,94352712.0,,En activité,2016-10-14,Bureau/étude/cabinet,663002,Gestion de fonds,"Familiy office, fiduciaire",1-2 travailleurs,MAZOLO & Cie Sàrl,1-4XH-75577,41225480061.0,,,info@mazolo.ch,https://www.mazolo.ch,Rue De-MONTHOUX,58,1201,Genève,Genève-Cité,930225019697,Rue De-MONTHOUX 58,,MAZOLO & Cie,,,,,2500221.04,1118604.01
37527,Etablissement,1-4XH-7559,PHIDIAS GESTION,65770883.0,,En activité,1999-08-23,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,PHIDIAS GESTION SA,1-4XH-7492,41227020800.0,,41227020899.0,,,rue de Saint-Léger,8,1205,Genève,Genève-Cité,930225025968,Rue de Saint-Léger 8,,PHIDIAS GESTION,,,,,2500237.42,1117074.6
37292,Etablissement,1-5GBWJR,Score,16554226.0,,En activité,2022-08-29,Bureau/étude/cabinet,649901,Sociétés d'investissement,,,Score Sàrl,1-387WCE,,,,,,Rue de Carouge,17,1205,Genève,Genève-Plainpalais,930225004469,Rue de Carouge 17,,Score,,,,,2500007.85,1116912.83
37301,Etablissement,1-7MK2E,Katalpa,92239470.0,,En activité,2018-07-25,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,katalpa Sàrl,1-4XH-73186,41765379384.0,,,,,Rue Albert-GOS,5,1206,Genève,Genève-Plainpalais,930225012977,Rue Albert-GOS 5,,Katalpa,,,,,2500959.16,1116037.27
36745,Etablissement,1-5FRVID,PATH Invest Switzerland,19150771.0,,En activité,2024-01-16,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,PATH Invest Switzerland SA,1-4BM1L1,41225060422.0,,,agnieszka.broszczak@pathinvest.ch,https://pathinvest.ch/,Rue de Lyon,77,1203,Genève,Genève-Petit-Saconnex,150827142546,Rue de Lyon 77,,PATH Invest Switzerland,,,,,2498672.06,1118275.18
37016,Etablissement,1-5FHYF1,Goldbach Group Gourgas,31554749.0,,En activité,2025-03-18,Bureau/étude/cabinet,649901,Sociétés d'investissement,,,Goldbach Group AG,1-2MQEFJ,,,,,,Rue GOURGAS,5,1205,Genève,Genève-Plainpalais,930225013143,Rue GOURGAS 5,,Goldbach Group Gourgas,,,,,2499599.16,1117260.81
36768,Etablissement,1-5HPTT3,Lapaire Glasses,11699552.0,,En activité,2020-01-21,Bureau/étude/cabinet,649901,Sociétés d'investissement,,,Lapaire Glasses SA,1-ZLXZ2,,,,,,Chemin des Bossonailles,10A,1222,Vésenaz,Collonge-Bellerive,930225033005,Chemin des Bossonailles 10A,,Lapaire Glasses,,,,,2505141.91,1121339.33
37349,Etablissement,1-4XH-76478,Gattlen & Partners,95575511.0,,En activité,2017-03-01,Bureau/étude/cabinet,663002,Gestion de fonds,,Sans travailleur,Gattlen & Partners Sàrl,1-4XH-76387,41227008603.0,,,pierre@gattlenpartners.ch,,Rue de la Terrassière,58,1207,Genève,Genève-Eaux-Vives,930225028413,Rue de la Terrassière 58,,Gattlen & Partners,,,,,2501363.48,1117320.2
36825,Etablissement,1-5H9HN5,"AXIOM ALTERNATIVE INVESTMENTS, Paris, succursale de Genève",19580843.0,,En activité,2024-03-25,Bureau/étude/cabinet,663002,Gestion de fonds,,,"AXIOM ALTERNATIVE INVESTMENTS, Paris, succursale de Genève",1-4GUADR,,,,,,Rue de Rive,10,1204,Genève,Genève-Cité,930225045730,Rue de Rive 10,,"AXIOM ALTERNATIVE INVESTMENTS, Paris, succursale de Genève",,,,,2500601.5,1117561.51
37110,Etablissement,1-5HBPK8,Aris Gold Switzerland SA,15476472.0,,En activité,2022-01-31,Bureau/étude/cabinet,649901,Sociétés d'investissement,,,Aris Gold Switzerland SA,1-2JJK9K,41442666274.0,,,,,Rue De-CANDOLLE,20,1205,Genève,Genève-Cité,930225004145,Rue De-CANDOLLE 20,,Aris Gold Switzerland SA,,,,,2500156.72,1117097.36
37389,Etablissement,1-4XH-74674,UBS Asset Management Switzerland,71065877.0,Rue de Lausanne,En activité,2017-09-05,Bureau/étude/cabinet,663002,Gestion de fonds,voir onglet Activités,,UBS Asset Management Switzerland AG,1-1I1RKH,,,,,,Rue de Lausanne,11,1201,Genève,Genève,41220165711,Rue de Lausanne 11,,UBS Asset Management Switzerland,,,,,2500085.45,1118546.84
37613,Etablissement,1-4XH-76260,Sesame Active Investments,94716095.0,,En activité,2016-12-22,Bureau/étude/cabinet,663002,Gestion de fonds,,,Sesame Active Investments SA,1-4XH-76259,41223220950.0,,,,,Rue du Prince,11,1204,Genève,Genève,930225045626,Rue du Prince 11,,Sesame Active Investments,,,,,2500609.69,1117598.75
37118,Etablissement,1-5HEHNH,AFR TRADING & INVESTMENT,99611835.0,,En activité,2018-11-14,Bureau/étude/cabinet,649901,Sociétés d'investissement,,,AFR TRADING & INVESTMENT SA,1-CLQYX,,,,,,Rue De-MONTHOUX,23,1201,Genève,Genève-Cité,930225019678,Rue De-MONTHOUX 23,,AFR TRADING & INVESTMENT,,,,,2500414.88,1118499.91
37132,Etablissement,1-5HUDRO,"E&S Star Cleaning, Sarai Antonio",10180585.0,,En activité,2025-06-26,Bureau/étude/cabinet,663002,Gestion de fonds,,,"E&S Star Cleaning, Sarai Antonio",1-IMINM,,,,,,Place de la Synagogue,5,1204,Genève,Genève-Cité,930225046164,Place de la Synagogue 5,,"E&S Star Cleaning, Sarai Antonio",,,,,2499851.45,1117664.93
37449,Etablissement,1-4XH-77649,Acacia Sustainable Business Advisors,94443668.0,World Trade Center II,En activité,2016-11-02,Bureau/étude/cabinet,663002,Gestion de fonds,,,Acacia Sustainable Business Advisors Sàrl,1-4XH-77557,41223018159.0,,,,,Route de Pré-Bois,29,1215,Genève,Meyrin,930225023235,Route de Pré-Bois 29,,Acacia Sustainable Business Advisors,,,,,2497063.1,1120498.61
36893,Etablissement,1-5IYPFE,Fondation Lemania de libre passage,97186496.0,,En activité,2018-02-20,Bureau/étude/cabinet,663002,Gestion de fonds,,,Fondation Lemania de libre passage,1-4XH-81700,,,,,,Rue des Vieux-Grenadiers,10,1205,Genève,Genève-Plainpalais,930225031205,Rue des Vieux-Grenadiers 10,,Fondation Lemania de libre passage,,,,,2499611.24,1117210.98
36895,Etablissement,1-5IZJ5,AWARE Investments,97988203.0,,En activité,2018-06-14,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,AWARE Investments (Switzerland) SA,1-2D4P8V,41228691522.0,,,info@awareswiss.com,https://www.awareswiss.com,rue Pierre-FATIO,15,1204,Genève,Genève-Cité,930225010580,Rue Pierre-FATIO 15,,AWARE Investments,,,,,2500842.4,1117582.71
37163,Etablissement,1-5ILCZO,Emeria Services,32309025.0,,En activité,2025-07-15,Bureau/étude/cabinet,649901,Sociétés d'investissement,,,Emeria Services SA,1-2J5F35,,,,,,Route de Saint-Julien,63,1212,Grand-Lancy,Lancy,210604091352,Route de Saint-Julien 63,,Emeria Services,,,,,2498812.3,1114387.06
36910,Etablissement,1-5JPD5J,Afterburner,18377153.0,,En activité,2023-08-07,Bureau/étude/cabinet,663002,Gestion de fonds,,,Afterburner Sàrl,1-42UMP3,,,,,,Avenue de l'Amandolier,22,1208,Genève,Genève-Eaux-Vives,930225000440,Avenue de l'Amandolier 22,,Afterburner,,,,,2501777.35,1116975.39
37482,Etablissement,1-XO171,Good Land,96984265.0,,En activité,2018-01-26,Activité à domicile,663002,Gestion de fonds,,1-2 travailleurs,Good Land Sàrl,1-4XH-82144,41788039003.0,,,daniel.gugl@goodlandswiss.com,,Route de Malagnou,58,1208,Genève,Genève-Eaux-Vives,930225017359,Route de Malagnou 58,,Good Land,,,,,2501666.43,1116885.14
36655,Etablissement,1-5K9OV9,Ninety-Six Partners,32397833.0,,En activité,2025-07-28,Bureau/étude/cabinet,663002,Gestion de fonds,,,Ninety-Six Partners SA,1-4XH-93450,41228278696.0,,,,https://www.ninetysixpartners.ch/,Place de Pont-Rouge,1,1212,Grand-Lancy,Lancy,160317141445,Place de Pont-Rouge 1,,Ninety-Six Partners,,,,,2498555.5,1115927.27
36932,Etablissement,1-5K65WD,ALANA CAPITAL,30383733.0,,En activité,2024-08-08,Bureau/étude/cabinet,663002,Gestion de fonds,,,ALANA CAPITAL SA,1-4TUVX0,41225642301.0,,,office@alanacapital.ch,https://alanacapital.ch/,Quai des Bergues,29,1201,Genève,Genève-Cité,930225002216,Quai des Bergues 29,,ALANA CAPITAL,,,,,2500224.32,1118056.79
37495,Etablissement,1-4XH-77820,BE LIONS,94400051.0,,En activité,2016-10-25,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,BE LIONS Sàrl,1-4XH-77819,41227360350.0,,,contact@belions.ch,https://www.belions.ch,Rue du Rhône,118,1204,Genève,Genève-Cité,930225024552,Rue du Rhône 118,,BE LIONS,,,,,2500903.98,1117598.34
36958,Etablissement,1-60N9E,Shard Capital Advisors,98022271.0,,En activité,2018-06-22,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,Shard Capital Advisors SA,1-60ETV,41223188080.0,41794475868.0,,,,rue du Marché,3,1204,Genève,Genève-Cité,930225017932,Rue du Marché 3,,Shard Capital Advisors,,,,,2500241.38,1117711.12
