,OBJECTID,TYPE_REG,ID_ETABLISSEMENT,NOM,UNITE_LOCALE,COMPLEMENT_LOCALI,STATUT_REG,IMMAT_DT,TYPE_LOCAL,CODE_NOGA,BRANCHE,ACTIVITE_DETAIL,TAILLE,RAISON_SOC_PARENT,ID_ENTREPRISE,TEL_PRINCIPAL,TEL_SECONDAIRE,FAX,EMAIL,SITE_INTERNET,PHYS_RUE,PHYS_NUMRUE,PHYS_NPA,PHYS_LOCALITE,PHYS_COMMUNE,IDPADR,ADRESSE,NUM_IDE,RAISON_SOCIALE,NATURE_JURID,SIEGE_CANTON,SIEGE_PAYS,SOUS_TYPE,E,N
5573,4896,Etablissement,1-1HJRXJ,CAPITELIA INVEST,69468139.0,,En activité,2007-11-30,Bureau/étude/cabinet,663002,Gestion de fonds,,,CAPITELIA INVEST SA,1-4XH-20365,41223160660.0,,41223160606.0,,,Rue de Saint-Léger,19,1204,Genève,Genève-Cité,930225025973,Rue de Saint-Léger 19,,CAPITELIA INVEST,,,,,2500372.78,1117234.56
5836,3921,Etablissement,1-2IGA76,AZURA SUISSE,13002924.0,,En activité,2020-10-06,Bureau/étude/cabinet,663002,Gestion de fonds,,6-9 travailleurs,AZURA SUISSE SA,1-1NT6CR,41798794144.0,,,anthony.gregoire@azura.com,,Place de Longemalle,2,1204,Genève,Genève-Cité,960830084806,Place de Longemalle 2,,AZURA SUISSE,,,,,2500533.37,1117712.15
5869,4459,Etablissement,1-1HJFHP,CAPITALIA Suisse,97502888.0,,En activité,2018-04-23,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,CAPITALIA (SUISSE) SARL,1-2UQ92,41228102614.0,,41223100877.0,,,Rue du Rhône,61,1204,Genève,Genève-Cité,930225024534,Rue du Rhône 61,,CAPITALIA Suisse,,,,,2500818.93,1117647.38
6170,7878,Etablissement,1-4CFMQN,NFG Partners,17467706.0,,En activité,2023-02-16,Bureau/étude/cabinet,663002,Gestion de fonds,,6-9 travailleurs,NFG Partners SA,1-3PZ77I,41225560220.0,,,,,Rue du Mont-Blanc,4,1201,Genève,Genève-Cité,930225019467,Rue du Mont-Blanc 4,,NFG Partners,,,,,2500339.97,1118136.74
6323,7185,Etablissement,1-2R7UN9,UNIQ CAPITAL,14909764.0,,En activité,2021-10-08,Bureau/étude/cabinet,661900,"Autres activités auxiliaires de services financiers, hors assurance et caisses de retraite",,Sans travailleur,UNIQ CAPITAL SA,1-2C74IX,41223196000.0,,,info@uniqcapital.ch,https://uniqcapital.ch,Cours de Rive,6,1204,Genève,Genève-Cité,930225024789,Cours de Rive 6,,UNIQ CAPITAL,,,,,2500759.19,1117479.38
6370,8029,Etablissement,1-3VHT4O,ANACONDAINVEST,73639721.0,,En activité,2009-10-21,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,ANACONDAINVEST SA,1-4XH-32649,41223541212.0,,,,,Rue du Rhône,42,1204,Genève,Genève-Cité,930225024526,Rue du Rhône 42,,ANACONDAINVEST,,,,,2500309.63,1117797.67
6504,7980,Etablissement,1-3PPKL6,ADN FINANCE,13210579.0,,En activité,2020-11-16,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,ADN FINANCE SA,1-1QIFBN,41225758747.0,,,,,Quai Gustave-ADOR,62,1207,Genève,Genève-Eaux-Vives,930225000107,Quai Gustave-ADOR 62,,ADN FINANCE,,,,,2501527.35,1118132.84
6531,7476,Etablissement,1-49IWLH,Ariaan Finance,96986283.0,,En activité,2023-11-29,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,Ariaan Finance Sàrl,1-4XH-82048,41225102150.0,41585959868.0,,info@ariaanfinance.com,,Rue du Rhône,49,1204,Genève,Genève-Cité,930225024528,Rue du Rhône 49,,Ariaan Finance,,,,,2500614.98,1117712.49
6870,7564,Etablissement,1-4CJCWQ,Landmark Trust Switzerland,96556117.0,,En activité,2017-10-09,Bureau/étude/cabinet,643000,Fonds de placement et entités financières similaires,,6-9 travailleurs,Landmark Trust Switzerland SA,1-4XH-73802,41227077340.0,41227077348.0,41227005523.0,geneva@landmarktrustgroup.com,https://www.landmarktrustgroup.com/,Place des Eaux-Vives,6,1207,Genève,Genève-Cité,930225009705,Place des Eaux-Vives 6,,Landmark Trust Switzerland,,,,,2500982.13,1117527.68
7247,6651,Etablissement,1-2ELL5Q,GSK and Partners,13262404.0,,En activité,2021-11-15,Bureau/étude/cabinet,649901,Sociétés d'investissement,,3-5 travailleurs,GSK and Partners SA,1-1RR18C,41223187878.0,,,info@gskpartners.ch,https://gskpartners.ch,Rue du Rhône,61,1204,Genève,Genève-Cité,930225024534,Rue du Rhône 61,,GSK and Partners,,,,,2500818.93,1117647.38
7509,6714,Etablissement,1-2E5SVT,Mecta Capital,13010244.0,,En activité,2020-10-02,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,Mecta Capital SA,1-1NPCLX,41225101254.0,,,contact@mectacapital.ch,,Rue du Stand,51,1204,Genève,Genève-Cité,930225027818,Rue du Stand 51,,Mecta Capital,,,,,2499799.21,1117738.3
7584,6738,Etablissement,1-2R38QQ,Opal Investment Services,15979506.0,,En activité,2022-05-03,Bureau/étude/cabinet,661900,"Autres activités auxiliaires de services financiers, hors assurance et caisses de retraite",,1-2 travailleurs,Opal Investment Services SA,1-2QT0VH,,,,contact@opalinvest.ch,,Rue de la Cité,1,1204,Genève,Genève-Cité,930225006787,Rue de la Cité 1,,Opal Investment Services,,,,,2500065.62,1117737.47
7648,6752,Etablissement,1-2G4LR7,Taranis,12933062.0,,En activité,2020-09-23,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,Taranis SA,1-1MGSKC,41223184390.0,,,investments@taranis.net,https://taranis.net/,Rue du Marché,7,1204,Genève,Genève-Cité,930225017935,Rue du Marché 7,,Taranis,,,,,2500258.26,1117705.6
7701,6756,Etablissement,1-2G4MEW,THE MATHILDE TRUST COMPANY,13010312.0,,En activité,2020-10-07,Bureau/étude/cabinet,692000,Activités comptables; fiduciaires,,3-5 travailleurs,THE MATHILDE TRUST COMPANY SA,1-1NTFRH,41223170060.0,,,info@tmtc.ch,,Rue Verdaine,13,1204,Genève,Genève-Cité,930225030181,Rue Verdaine 13,,THE MATHILDE TRUST COMPANY,,,,,2500532.14,1117447.06
8430,9758,Etablissement,1-4TQX63,Stratesys,74751481.0,,En activité,2024-08-08,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,Stratesys SA,1-48WQXV,41223106312.0,,,daniel.emery@stratesys.ch,,Rue des Pierres-du-Niton,17,1207,Genève,Genève-Eaux-Vives,930225022052,Rue des Pierres-du-Niton 17,,Stratesys,,,,,2501074.28,1117737.42
8838,10179,Etablissement,1-4L2N5D,A&T Alpha Credit,11125329.0,,En activité,2024-05-22,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,A&T Alpha Credit SA,1-SJ86K,41225191250.0,41782217997.0,,contact@alpha-credit.ch,https://www.alpha-credit.ch,Quai des Forces-Motrices,14,1204,Genève,Genève-Plainpalais,930225011455,Quai des Forces-Motrices 14,,A&T Alpha Credit,,,,,2499650.52,1117799.26
8938,9659,Etablissement,1-4XH-11058,GESTRUST,67455493.0,,En activité,2002-07-24,Bureau/étude/cabinet,692000,Activités comptables; fiduciaires,,10-19 travailleurs,GESTRUST SA,1-4XH-11057,41227315770.0,,41227315283.0,info@gestrust.ch,https://www.gestrust.ch/,Rue du Mont-Blanc,7,1201,Genève,Genève-Cité,930225019470,Rue du Mont-Blanc 7,,GESTRUST,,,,,2500236.28,1118188.66
8968,10096,Etablissement,1-4XH-12447,GIS - Advisers,68047620.0,,En activité,2003-09-01,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,GIS Advisers SA,1-4XH-12446,41225522565.0,,,,https://gis-advisers.com,Rue Adrien-LACHENAL,20,1207,Genève,Genève-Cité,930225015934,Rue Adrien-LACHENAL 20,,GIS - Advisers,,,,,2500994.17,1117299.4
9579,8531,Etablissement,1-3O0R4D,Miura Wealth Management,13418640.0,,En activité,2020-12-22,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,Miura Wealth Management SA,1-1TU7ZX,41793457708.0,41223100084.0,,gpal@miura-wm.com,,Rue Verdaine,11,1204,Genève,Genève-Cité,930225030179,Rue Verdaine 11,,Miura Wealth Management,,,,,2500545.42,1117461.01
9625,8274,Etablissement,1-48XWXB,Axios Trustees,17030073.0,,En activité,2022-12-02,Bureau/étude/cabinet,663002,Gestion de fonds,,6-9 travailleurs,Axios Trustees SA,1-3GTBGP,41223191314.0,,,,,Boulevard Georges-FAVON,19,1204,Genève,Genève-Cité,930225010638,Boulevard Georges-FAVON 19,,Axios Trustees,,,,,2499799.49,1117519.87
9908,8607,Etablissement,1-3FMDN0,Twenty20 Trustees,96588501.0,,En activité,2021-07-01,Bureau/étude/cabinet,692000,Activités comptables; fiduciaires,,6-9 travailleurs,Twenty20 Trustees SA,1-4XH-75270,41227078694.0,,,,,Rue de Jargonnant,2,1207,Genève,Genève-Eaux-Vives,930225015386,Rue de Jargonnant 2,,Twenty20 Trustees,,,,,2501298.32,1117431.76
10162,8407,Etablissement,1-4BWR3W,TrustQore,13690023.0,,En activité,2024-01-24,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,TrustQore (Switzerland) SA,1-1WID15,41225120345.0,,,,https://trustqore.com,Rue Verdaine,9,1204,Genève,Genève-Cité,930225030178,Rue Verdaine 9,,TrustQore,,,,,2500556.73,1117473.9
10201,11274,Etablissement,1-47HLIS,Elaia Capital,15795901.0,,En activité,2023-10-31,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,Elaia Capital SA,1-2NK15Q,41223177440.0,41788743005.0,,welcome@elaia-capital.ch,https://www.elaia-capital.ch,Rue Jean-SÉNEBIER,4,1205,Genève,Genève-Cité,930225026892,Rue Jean-SÉNEBIER 4,,Elaia Capital,,,,,2500300.59,1117080.98
10269,11770,Etablissement,1-4XH-17480,Bedrock,68573213.0,,En activité,2004-04-14,Bureau/étude/cabinet,663002,Gestion de fonds,,10-19 travailleurs,Bedrock SA,1-4XH-17479,41225925455.0,,41225925459.0,info@bedrockgroup.ch,http://www.bedrockgroup.com,Chemin des Vergers,4,1208,Genève,Genève,930225030202,Chemin des Vergers 4,,Bedrock,,,,,2501442.84,1117166.64
10445,11587,Etablissement,1-4FJMIL,Sussland & Co,90947071.0,,En activité,2024-03-01,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,Sussland & Co SA,1-4XH-66332,41792783269.0,41227362583.0,,solutions@sussland.ch,https://sussland.ch/,Rue Michel-CHAUVET,12,1208,Genève,Genève-Eaux-Vives,930225006000,Rue Michel-CHAUVET 12,,Sussland & Co,,,,,2501078.3,1117057.59
10600,12203,Etablissement,1-4XH-17191,SUNPARTNERS,68638635.0,,En activité,2004-05-17,Bureau/étude/cabinet,643000,Fonds de placement et entités financières similaires,,6-9 travailleurs,SUNPARTNERS SA,1-4XH-17190,41228394400.0,,41228394418.0,e-contact@sun-partners.ch,https://sun-partners.ch,Place du Bourg-de-Four,9,1204,Genève,Genève-Cité,930225003554,Place du Bourg-de-Four 9,,SUNPARTNERS,,,,,2500478.34,1117317.6
11050,12157,Etablissement,1-4XH-17353,KARFIGEST,68742508.0,,En activité,2004-06-21,Bureau/étude/cabinet,663002,Gestion de fonds,,6-9 travailleurs,KARFIGEST SA,1-4XH-17352,41223110660.0,,41223110662.0,info@karfigest.ch,http://www.karfigest.ch,Rue du Purgatoire,1,1204,Genève,Genève,930225023957,Rue du Purgatoire 1,,KARFIGEST,,,,,2500488.14,1117574.16
11809,11156,Etablissement,1-4ISLBL,Montec Capital,18145801.0,,En activité,2023-06-21,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,MONTEC CAPITAL SA,1-3YM22W,41794494513.0,,,,http://www.montec-capital.ch,Rue de Lausanne,17,1201,Genève,Genève-Cité,930225041145,Rue de Lausanne 17,,Montec Capital,,,,,2500107.13,1118593.33
12256,13288,Etablissement,1-4XH-13185,Swissgest,68082740.0,,En activité,2003-09-26,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,SWISSGEST SA,1-4XH-13184,41227880734.0,,41227884936.0,,,Rue De-CANDOLLE,20,1205,Genève,Genève-Cité,930225004145,Rue De-CANDOLLE 20,,Swissgest,,,,,2500156.72,1117097.36
12264,13994,Etablissement,1-4XH-22979,Gordion upside,71334472.0,,En activité,2007-06-28,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,GORDION UPSIDE Wealth Management SA,1-4XH-22978,41223086122.0,,,contact@gordion-upside.com,https://www.gordion-upside.com,Boulevard Georges-FAVON,14,1204,Genève,Genève-Cité,930225010633,Boulevard Georges-FAVON 14,,Gordion upside,,,,,2499759.65,1117669.53
12481,13356,Etablissement,1-4XH-14556,ARCORA GESTION,67952703.0,,En activité,2003-07-08,Bureau/étude/cabinet,663002,Gestion de fonds,,6-9 travailleurs,ARCORA GESTION SA,1-4XH-14537,41223216015.0,,,info@arcora.ch,https://www.arcora.ch/,Boulevard des Philosophes,8,1205,Genève,Genève,930225021757,Boulevard des Philosophes 8,,ARCORA GESTION,,,,,2500073.75,1117023.91
12887,13905,Etablissement,1-4XH-21768,GlobalView Investments,70289420.0,,En activité,2006-06-19,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,GlobalView Investments SA,1-4XH-21767,41223192000.0,,41223192001.0,info@globalview.ch,https://www.globalview.ch/,Boulevard Emile-JAQUES-DALCROZE,2,1204,Genève,Genève,930225015354,Boulevard Emile-JAQUES-DALCROZE 2,,GlobalView Investments,,,,,2500768.76,1117456.22
13075,13949,Etablissement,1-4XH-22272,Nevastar Finance,70042501.0,,En activité,2006-03-07,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,Nevastar Finance (Switzerland) SA,1-4XH-22271,41228178000.0,,,contact@nevastar.com,http://www.nevastar.com,Boulevard Helvétique,31,1207,Genève,Genève-Cité,930225014581,Boulevard Helvétique 31,,Nevastar Finance,,,,,2500899.82,1117545.85
13164,14197,Etablissement,1-4XH-19286,Balboa Asset Management,69368770.0,,En activité,2005-04-12,Bureau/étude/cabinet,663002,Gestion de fonds,,,Balboa Asset Management SA,1-4XH-19267,41223107840.0,41792021285.0,,,,Rue du Vieux-Collège,10BIS,1204,Genève,Genève,930225031196,Rue du Vieux-Collège 10BIS,,Balboa Asset Management,,,,,2500631.56,1117489.77
13239,12813,Etablissement,1-4XH-11810,RAM Capital,67182060.0,,En activité,2002-02-25,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,RAM Capital SA,1-4XH-12198,41228498300.0,,41228498309.0,dsarper@ramcapital.ch,http://www.ramcapital.ch,Rue François-VERSONNEX,11,1207,Genève,Genève,930225030550,Rue François-VERSONNEX 11,,RAM Capital,,,,,2500978.44,1117647.01
13245,12819,Etablissement,1-4XH-11823,Genève Invest,67299150.0,,En activité,2002-04-25,Bureau/étude/cabinet,663002,Gestion de fonds,,10-19 travailleurs,Genève Invest Sàrl,1-4XH-11822,41227164355.0,41798396362.0,41227164352.0,administration@geneveinvest.ch,https://geneveinvest.ch/,Place Ruth-BÖSIGER,6,1201,Genève,Genève-Cité,930225006427,Place Ruth-BÖSIGER 6,,Genève Invest,,,,,2500135.79,1118065.1
13301,12828,Etablissement,1-4XH-1199,"Gap, gestion active et personnalisée",64753001.0,,En activité,1997-06-11,Bureau/étude/cabinet,663002,Gestion de fonds,,,"Gap, gestion active et personnalisée SA",1-4XH-1198,41223215666.0,,41223206774.0,gap-ge@bluewin.ch,,Cours de Rive,1,1204,Genève,Genève,930225024784,Cours de Rive 1,,"Gap, gestion active et personnalisée",,,,,2500726.23,1117540.4
13322,13088,Etablissement,1-4XH-13787,M.F.A. Finance,67969749.0,,En activité,2003-06-18,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,M.F.A. Finance SA,1-4XH-13786,41223228070.0,,41223228079.0,info@mfa-finance.ch,https://www.mfa-finance.ch/,Rue SAINT-OURS,4,1205,Genève,Genève,930225026068,Rue SAINT-OURS 4,,M.F.A. Finance,,,,,2500107.19,1117077.47
13359,12837,Etablissement,1-4XH-1201,Gestion de Patrimoine du Rhône,64753017.0,,En activité,1997-06-11,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,Gestion de Patrimoine du Rhône SA,1-4XH-1200,41223120083.0,,41223120086.0,egarcia@gprsa.com,,Rue Charles-BONNET,14,1206,Genève,Genève-Cité,930225003059,Rue Charles-BONNET 14,,Gestion de Patrimoine du Rhône,,,,,2500680.28,1116948.25
13454,12344,Etablissement,1-4XH-13980,HBS,67872173.0,,En activité,2003-03-11,Bureau/étude/cabinet,663002,Gestion de fonds,,10-19 travailleurs,HBS SA,1-4XH-13979,41228070550.0,,41228070551.0,agnieszka@hbs-sa.com,https://www.hbs-sa.com/,Rue de la Rôtisserie,1,1204,Genève,Genève-Cité,930225025157,Rue de la Rôtisserie 1,,HBS,,,,,2500202.02,1117681.3
13821,13175,Etablissement,1-4XH-14341,Eurocapital advisors,68151488.0,,En activité,2003-10-27,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,EUROCAPITAL advisors (Switzerland) SA,1-4XH-14340,41227810800.0,,41227810802.0,administration@eurocapital-advisors.ch,http://www.eurocapital-advisors.ch,Place des Bergues,1,1201,Genève,Genève,960207124359,Place des Bergues 1,,Eurocapital advisors,,,,,2500251.61,1118069.71
13913,12712,Etablissement,1-4XH-10360,BPI,67307382.0,,En activité,2002-04-29,Bureau/étude/cabinet,663002,Gestion de fonds,,6-9 travailleurs,BPI (Suisse) SA,1-4XH-11876,41223183760.0,,41228104410.0,bpisuisse@bpisuisse.ch,http://www.bpisuisse.ch,Chemin Bram-Van-VELDE,13,1206,Genève,Genève-Plainpalais,50218114817,Chemin Bram-Van-VELDE 13,,BPI,,,,,2501099.94,1115623.71
13976,12728,Etablissement,1-4XH-10568,Wealth-at-Risk,66220437.0,,En activité,2000-10-11,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,Wealth-at-Risk Sàrl,1-4XH-10567,41228403015.0,,41228403011.0,pgazil@wealth-at-risk.com,,Route de Malagnou,38A,1208,Genève,Genève,960611093447,Route de Malagnou 38A,,Wealth-at-Risk,,,,,2501324.47,1116939.2
14033,12497,Etablissement,1-4XH-18244,Addvision wealth management,68720829.0,,En activité,2004-06-08,Bureau/étude/cabinet,663002,Gestion de fonds,,10-19 travailleurs,ADDVISION WEALTH MANAGEMENT SA,1-4XH-18243,41228183500.0,,,awm@addvisionpartners.com,https://www.addvisionpartners.com/,Cours de Rive,5,1204,Genève,Genève,930225024788,Cours de Rive 5,,Addvision wealth management,,,,,2500756.7,1117530.71
14061,13019,Etablissement,1-4XH-12924,SwissIndependent Trustees,67254432.0,,En activité,2002-04-04,Bureau/étude/cabinet,663002,Gestion de fonds,,20-49 travailleurs,SwissIndependent Trustees SA,1-4XH-12923,41227187111.0,,41227187110.0,admin@swissindependent.com,http://www.swissindependent.com,Rue du Prince,9,1204,Genève,Genève,930225023765,Rue du Prince 9,,SwissIndependent Trustees,,,,,2500612.0,1117603.06
14284,15304,Etablissement,1-4XH-26534,SWISS CAPITAL IB,71954645.0,,En activité,2008-04-01,Bureau/étude/cabinet,663002,Gestion de fonds,,6-9 travailleurs,SWISS CAPITAL IB SA,1-4XH-26533,41225121024.0,,,info@swisscapital-ib.com,https://swisscapital-ib.com/,Place de l'Université,6,1205,Genève,Genève-Cité,930225029454,Place de l'Université 6,,SWISS CAPITAL IB,,,,,2500065.1,1117152.59
14390,16029,Etablissement,1-4XH-25935,DENARIUS CONSEILS & GESTION,70726249.0,,En activité,2006-12-06,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,DENARIUS CONSEILS & GESTION SA,1-4XH-25934,41227070890.0,,41227070899.0,info@denarius.ch,http://www.denarius.ch,Quai Gustave-ADOR,50,1207,Genève,Genève,930225000101,Quai Gustave-ADOR 50,,DENARIUS CONSEILS & GESTION,,,,,2501421.13,1118104.61
14419,15568,Etablissement,1-4XH-24182,Emerald Management,71115648.0,,En activité,2007-04-24,Bureau/étude/cabinet,661900,"Autres activités auxiliaires de services financiers, hors assurance et caisses de retraite",,3-5 travailleurs,Emerald Management SA,1-4XH-24181,41227356888.0,,41227356890.0,info@emeraldmgt.com,https://www.emeraldmgt.com,place des Eaux-Vives,8,1207,Genève,Genève-Cité,930225009707,Place des Eaux-Vives 8,,Emerald Management,,,,,2500974.12,1117501.82
14449,15803,Etablissement,1-4XH-24228,PARfinance,71145160.0,,En activité,2007-04-30,Bureau/étude/cabinet,663002,Gestion de fonds,,10-19 travailleurs,PARfinance SA,1-4XH-24227,41229895555.0,,41229895556.0,opgen@opfi.com,http://www.parfinance.ch/, Grand-Rue,11,1204,Genève,Genève-Cité,930225013612,Grand-Rue 11,,PARfinance,,,,,2500156.24,1117584.74
14479,15357,Etablissement,1-4XH-24166,PWM Private Wealth Managers,71238553.0,,En activité,2007-05-29,Bureau/étude/cabinet,663002,Gestion de fonds,Gestion de fortune,3-5 travailleurs,PWM Private Wealth Managers SA,1-4XH-24165,41225938700.0,,41225938701.0,mhauser@pwm-sa.com,,Cours de Rive,4,1204,Genève,Genève,930225024787,Cours de Rive 4,,PWM Private Wealth Managers,,,,,2500738.67,1117502.59
14642,16200,Etablissement,1-4XH-25782,MARS Capital,70887364.0,,En activité,2007-02-12,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,MARS Capital SA,1-4XH-25781,41227161444.0,,,akalenichenko@mars-cap.com,http://www.mars-cap.com,Cours de Rive,2,1204,Genève,Genève,930225024785,Cours de Rive 2,,MARS Capital,,,,,2500715.41,1117509.94
14664,15399,Etablissement,1-4XH-2547,STRATEGIE FINANCE,65363997.0,,En activité,1998-09-29,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,STRATEGIE FINANCE SA,1-4XH-2546,41228394450.0,,41228394455.0,team@strategie-finance.ch,http://www.strategie-finance.ch,Rue du Mont-de-Sion,6,1206,Genève,Genève-Cité,930225019579,Rue du Mont-de-Sion 6,,STRATEGIE FINANCE,,,,,2500801.81,1117024.78
14674,15632,Etablissement,1-4XH-2494,Société de gestion M&R,65208339.0,,En activité,1998-06-16,Bureau/étude/cabinet,663002,Gestion de fonds,Gestion de fortune,20-49 travailleurs,Société de gestion M&R SA,1-4XH-2493,41228196010.0,,41228190403.0,,https://sg-mr.com/,Place de Longemalle,1,1204,Genève,Genève-Cité,930225016774,Place de Longemalle 1,,Société de gestion M&R,,,,,2500566.34,1117689.92
14752,15662,Etablissement,1-4XH-28239,Butterfield Trust,71548768.0,,En activité,2007-10-01,Bureau/étude/cabinet,663002,Gestion de fonds,,10-19 travailleurs,Butterfield Trust (Switzerland) Limited,1-4XH-28238,41228390000.0,,41228390099.0,,http://www.butterfieldgroup.com,Boulevard des Tranchées,16,1206,Genève,Genève,930225029109,Boulevard des Tranchées 16,,Butterfield Trust,,,,,2500729.41,1116932.81
14883,15900,Etablissement,1-4XH-26260,CFG - Compagnie Financière Genevoise 1855,72002915.0,,En activité,2008-04-10,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,CFG - Compagnie Financière Genevoise 1855 SA,1-4XH-26241,41223314590.0,,41223314591.0,contact@cfg1855.com,http://www.cfg1855.com,Rue Kitty-PONSE,5,1205,Genève,Genève-Cité,930225029453,Rue Kitty-PONSE 5,,CFG - Compagnie Financière Genevoise 1855,,,,,2500037.75,1117165.39
15042,15491,Etablissement,1-4XH-28939,FIDINVEST GLOBAL,71513236.0,,En activité,2007-09-13,Bureau/étude/cabinet,661900,"Autres activités auxiliaires de services financiers, hors assurance et caisses de retraite",,1-2 travailleurs,FIDINVEST GLOBAL SA,1-4XH-28870,41227356750.0,,,,,Rue Claudine-LEVET,7,1201,Genève,Genève-Cité,930225014094,Rue Claudine-LEVET 7,,FIDINVEST GLOBAL,,,,,2499944.3,1118056.28
15145,15976,Etablissement,1-4XH-26488,Criptonite Asset Management,71962630.0,,En activité,2008-04-01,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,Criptonite Asset Management SA,1-4XH-26487,41223105281.0,,,info@criptoniteam.com,https://criptoniteam.com,Rue de la Corraterie,19,1204,Genève,Genève-Cité,930225007933,Rue de la Corraterie 19,,Criptonite Asset Management,,,,,2500052.06,1117564.53
15161,16197,Etablissement,1-4XH-25109,Lobnek Wealth Management,70688489.0,,En activité,2006-11-21,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,Lobnek Wealth Management SA,1-4XH-25042,41227189020.0,,41227189039.0,info@lobnek.com,http://www.lobnek.com,Rue de la Confédération,7,1204,Genève,Genève,930225047869,Rue de la Confédération 7,,Lobnek Wealth Management,,,,,2500125.69,1117747.13
15199,15982,Etablissement,1-4XH-24265,Ideal Gestion,71349201.0,,En activité,2007-07-03,Bureau/étude/cabinet,661900,"Autres activités auxiliaires de services financiers, hors assurance et caisses de retraite",,1-2 travailleurs,Ideal Gestion SA,1-4XH-24264,41223219525.0,,41223219527.0,mc@idealgestion.com,http://www.idealgestion.com,Rue du Commerce,4,1204,Genève,Genève-Cité,150413144027,Rue du Commerce 4,,Ideal Gestion,,,,,2500147.13,1117777.82
15271,14304,Etablissement,1-4XH-19508,GLOBALLY,69564943.0,,En activité,2005-07-29,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,GLOBALLY SA,1-4XH-19507,41228495353.0,,,jandre@globallysa.com,http://www.globallysa.com,Rue du Marché,28,1204,Genève,Genève-Cité,930225017951,Rue du Marché 28,,GLOBALLY,,,,,2500306.73,1117666.12
15300,14827,Etablissement,1-4XH-1687,Sagefor,41886659.0,,En activité,1978-12-01,Bureau/étude/cabinet,663002,Gestion de fonds,,1-2 travailleurs,SAGEFOR Société Anonyme de Gérance de Fortunes,1-4XH-1686,41223295206.0,,,info@sagefor.ch,http://www.sagefor.ch,Rue François-BELLOT,5,1206,Genève,Genève-Cité,930225002117,Rue François-BELLOT 5,,Sagefor,,,,,2500663.96,1117118.33
15342,14563,Etablissement,1-4XH-16285,"Keane, Mathez & Cie",68985066.0,,En activité,2004-11-03,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,"Keane, Mathez & Cie",1-4XH-16284,41223166500.0,,41223166501.0,info@keanemathez.ch,http://www.keanemathez.ch,Place de Longemalle,2,1204,Genève,Genève-Cité,960830084806,Place de Longemalle 2,,"Keane, Mathez & Cie",,,,,2500533.37,1117712.15
15550,14884,Etablissement,1-4XH-17586,CEFISA Associés,68400747.0,,En activité,2004-01-27,Bureau/étude/cabinet,663002,Gestion de fonds,,3-5 travailleurs,CEFISA Associés SA,1-4XH-17567,41225943600.0,,,info@cefisa.ch,https://www.cefisa.ch,Rue Michel-CHAUVET,11,1208,Genève,Genève,930225005999,Rue Michel-CHAUVET 11,,CEFISA Associés,,,,,2501221.2,1117050.09
15636,15159,Etablissement,1-4XH-27593,CIGP,71806969.0,,En activité,2008-01-07,Bureau/étude/cabinet,661200,Courtage de valeurs mobilières et de marchandises,,6-9 travailleurs,CIGP COMPAGNIE D'INVESTISSEMENTS ET DE GESTION PRIVEE SA,1-4XH-27592,41223104877.0,,41223104876.0,officegva@cigp.com,https://cigp.ch/,Rue MAURICE,1,1204,Genève,Genève,950906161250,Rue MAURICE 1,,CIGP,,,,,2500504.1,1117237.98
